"Station Name","CHELSEA"
"Province","QUEBEC"
"Latitude","45.52"
"Longitude","-75.78"
"Elevation","112.50"
"Climate Identifier","7031360"
"WMO Identifier",""
"TC Identifier",""

"Legend"
"B","More than one occurrence and estimated"
"E","Estimated"
"M","Missing"
"S","More than one occurrence"
"T","Trace"
"[empty]","No data available"
"^","The value displayed is based on incomplete data"

"Date/Time","Year","Month","Mean Max Temp (°C)","Mean Max Temp Flag","Mean Min Temp (°C)","Mean Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Extr Max Temp (°C)","Extr Max Temp Flag","Extr Min Temp (°C)","Extr Min Temp Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow Grnd Last Day (cm)","Snow Grnd Last Day Flag","Dir of Max Gust (10's deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"1941-03","1941","03","0.1","","-13.6","","-6.8","","5.6","S","-24.4","","0.5","","29.2","","29.7","","","",,"",,""
"1941-04","1941","04","14.5","","0.6","","7.6","","26.7","","-8.9","","24.1","","0.0","","24.1","","","",,"",,""
"1941-05","1941","05","19.5","","6.9","","13.2","","28.9","","1.1","","39.6","","0.0","","39.6","","","",,"",,""
"1941-06","1941","06","25.9","","12.9","","19.4","","35.0","S","7.8","","50.8","","0.0","","50.8","","","",,"",,""
"1941-07","1941","07","27.5","","16.1","","21.8","","35.0","","10.6","","37.3","","0.0","","37.3","","","",,"",,""
"1941-08","1941","08","23.2","","12.1","","17.7","","32.8","","6.1","","68.8","","0.0","","68.8","","","",,"",,""
"1941-09","1941","09","20.9","","9.0","","15.0","","29.4","S","0.6","","55.1","","0.0","","55.1","","","",,"",,""
"1941-10","1941","10","12.3","","3.0","","7.7","","28.3","","-5.6","","130.8","","0.0","T","130.8","","","",,"",,""
"1941-11","1941","11","5.2","","-2.0","","1.6","","15.6","S","-8.9","","71.9","","11.2","","83.1","","","",,"",,""
"1941-12","1941","12","-2.9","","-10.7","","-6.8","","10.6","","-22.2","S","61.5","","58.7","","120.1","","","",,"",,""
"1942-01","1942","01","-5.8","","-18.7","","-12.3","","4.4","","-33.3","","10.4","","52.8","","63.2","","","",,"",,""
"1942-02","1942","02","-5.7","","-15.3","","-10.5","","4.4","","-27.8","","2.0","","44.5","","46.5","","","",,"",,""
"1942-03","1942","03","3.6","","-5.3","","-0.9","","10.0","","-13.3","S","39.4","","31.0","","70.4","","","",,"",,""
"1942-04","1942","04","13.3","","1.4","","7.4","","28.3","","-2.8","","27.4","","8.9","","36.3","","","",,"",,""
"1942-05","1942","05","18.7","","7.7","","13.2","","27.8","S","0.0","","84.3","","0.0","","84.3","","","",,"",,""
"1942-06","1942","06","23.6","","12.2","","17.9","","32.2","","4.4","","40.4","","0.0","","40.4","","","",,"",,""
"1942-07","1942","07","25.1","","14.7","","19.9","","33.3","","7.2","","55.4","","0.0","","55.4","","","",,"",,""
"1942-08","1942","08","23.9","","13.1","","18.5","","31.1","","5.0","","66.8","","0.0","","66.8","","","",,"",,""
"1942-09","1942","09","20.2","","8.8","","14.5","","29.4","","0.0","","128.3","","0.0","","128.3","","","",,"",,""
"1942-10","1942","10","13.9","","3.0","","8.5","","21.7","","-1.1","","74.4","","1.3","","75.7","","","",,"",,""
"1942-11","1942","11","4.1","","-3.1","","0.5","","14.4","","-10.6","","44.5","","23.1","","67.6","","","",,"",,""
"1942-12","1942","12","-5.8","","-14.6","","-10.2","","3.3","","-31.7","S","33.0","","112.5","","145.5","","","",,"",,""
"1943-01","1943","01","-9.7","","-21.3","","-15.5","","1.1","","-31.1","","3.0","","59.9","","63.0","","","",,"",,""
"1943-02","1943","02","-3.2","","-16.9","","-10.1","","8.3","","-35.6","S","19.3","","39.6","","58.9","","","",,"",,""
"1943-03","1943","03","-0.7","","-12.3","","-6.5","","8.3","","-31.1","","36.6","","56.9","","93.5","","","",,"",,""
"1943-04","1943","04","5.4","","-5.7","","-0.2","","18.3","","-15.6","S","34.5","","20.6","","55.1","","","",,"",,""
"1943-05","1943","05","17.1","","5.7","","11.4","","23.9","","-4.4","","144.5","","0.0","","144.5","","","",,"",,""
"1943-06","1943","06","23.4","","13.4","","18.4","","31.1","","6.1","","159.8","","0.0","","159.8","","","",,"",,""
"1943-07","1943","07","26.2","","14.8","","20.5","","30.6","S","10.0","S","68.8","","0.0","","68.8","","","",,"",,""
"1943-08","1943","08","23.2","","13.6","","18.4","","31.1","","1.1","","120.4","","0.0","","120.4","","","",,"",,""
"1943-09","1943","09","17.9","","8.0","","13.0","","25.6","S","0.0","","41.4","","0.0","","41.4","","","",,"",,""
"1943-10","1943","10","12.5","","3.6","","8.1","","21.7","","-1.7","S","78.7","","0.0","","78.7","","","",,"",,""
"1943-11","1943","11","4.5","","-2.4","","1.1","","11.7","","-11.1","S","46.5","","12.4","","58.9","","","",,"",,""
"1943-12","1943","12","-5.7","","-17.1","","-11.4","","5.0","S","-35.6","","1.3","","64.0","","65.3","","","",,"",,""
"1944-01","1944","01","-3.7","","-14.9","","-9.3","","5.6","","-28.9","S","3.8","","30.5","","34.3","","","",,"",,""
"1944-02","1944","02","-5.4","","-18.5","","-12.0","","3.3","S","-31.7","","6.6","","30.7","","37.3","","","",,"",,""
"1944-03","1944","03","-1.2","","-13.7","","-7.5","","13.3","","-25.0","S","19.8","","44.7","","64.5","","","",,"",,""
"1944-04","1944","04","8.2","","-4.1","","2.1","","21.1","","-11.1","S","34.8","","8.9","","43.7","","","",,"",,""
"1944-05","1944","05","22.4","","8.3","","15.4","","31.1","","-1.7","","30.2","","0.0","","30.2","","","",,"",,""
"1944-06","1944","06","23.3","","12.6","","18.0","","34.4","","6.1","S","57.4","","0.0","","57.4","","","",,"",,""
"1944-07","1944","07","27.1","","15.6","","21.4","","33.3","","10.6","","62.5","","0.0","","62.5","","","",,"",,""
"1944-08","1944","08","27.7","","14.9","","21.3","","36.1","S","8.9","S","28.4","","0.0","","28.4","","","",,"",,""
"1944-09","1944","09","20.2","","10.4","","15.3","","27.8","","1.7","","96.0","","0.0","","96.0","","","",,"",,""
"1944-10","1944","10","11.8","","2.6","","7.2","","22.8","","-2.2","S","21.3","","0.0","T","21.3","","","",,"",,""
"1944-11","1944","11","4.7","","-1.5","","1.6","","19.4","","-7.2","S","28.7","","44.7","","73.4","","","",,"",,""
"1944-12","1944","12","-5.9","","-15.7","","-10.8","","2.8","","-31.7","S","7.9","","108.0","","115.8","","","",,"",,""
"1945-01","1945","01","-10.4","","-21.7","","-16.1","","0.0","","-33.3","","0.0","T","46.5","","46.5","","","",,"",,""
"1945-02","1945","02","-3.5","","-14.8","","-9.2","","6.7","","-24.4","S","22.4","","39.1","","61.5","","","",,"",,""
"1945-03","1945","03","7.4","","-4.6","","1.4","","25.6","","-16.7","","66.0","","15.0","","81.0","","","",,"",,""
"1945-04","1945","04","12.8","","1.7","","7.3","","25.6","S","-5.6","","93.7","","0.0","T","93.7","","","",,"",,""
"1945-05","1945","05","14.5","","4.7","","9.6","","25.0","S","0.0","","101.6","","0.0","","101.6","","","",,"",,""
"1945-06","1945","06","22.3","","11.2","","16.8","","30.0","","1.7","S","78.5","","0.0","","78.5","","","",,"",,""
"1945-07","1945","07","25.1","","14.2","","19.7","","31.1","","7.2","S","72.1","","0.0","","72.1","","","",,"",,""
"1945-08","1945","08","25.0","","14.2","","19.6","","31.1","","7.8","","94.5","","0.0","","94.5","","","",,"",,""
"1945-09","1945","09","19.9","","9.8","","14.9","","32.2","","0.0","","106.4","","0.0","","106.4","","","",,"",,""
"1945-10","1945","10","12.0","","2.7","","7.4","","22.8","","-2.2","","70.4","","1.3","","71.6","","","",,"",,""
"1945-11","1945","11","4.1","","-3.3","","0.4","","17.2","","-11.1","","33.0","","27.7","","60.7","","","",,"",,""
"1945-12","1945","12","-5.4","","-14.1","","-9.8","","3.3","","-23.9","","24.4","","26.4","","50.8","","","",,"",,""
"1946-01","1946","01","-6.8","E","-17.9","E","-12.4","E","","M","","M","","M","","M","","M","","",,"",,""
"1946-02","1946","02","-7.7","E","-21.6","E","-14.7","E","","M","","M","","M","","M","","M","","",,"",,""
"1946-03","1946","03","9.0","","-4.7","","2.2","","25.6","","-12.8","S","33.0","","6.4","","39.4","","","",,"",,""
"1946-04","1946","04","10.1","","-0.9","","4.6","","23.3","","-8.9","","41.9","","13.0","","54.9","","","",,"",,""
"1946-05","1946","05","16.3","","5.1","E","10.7","E","25.0","","","M","70.1","","0.0","","70.1","","","",,"",,""
"1946-06","1946","06","23.1","","11.3","","17.2","","33.3","","4.4","","44.7","","0.0","","44.7","","","",,"",,""
"1946-07","1946","07","25.9","","13.8","","19.9","","32.2","","7.2","S","63.0","","0.0","","63.0","","","",,"",,""
"1946-08","1946","08","22.7","","12.1","","17.4","","31.7","S","6.7","","67.6","","0.0","","67.6","","","",,"",,""
"1946-09","1946","09","21.5","","9.1","","15.3","","29.4","","2.2","","95.3","","1.3","","96.5","","","",,"",,""
"1946-10","1946","10","15.2","","2.9","","9.1","","27.2","","-3.9","S","151.9","","7.1","","159.0","","","",,"",,""
"1946-11","1946","11","5.6","","-1.9","","1.9","","15.0","","-15.0","","53.6","","33.5","","87.1","","","",,"",,""
"1946-12","1946","12","-2.6","","-12.2","","-7.4","","11.7","","-31.1","S","59.2","","65.3","","124.5","","","",,"",,""
"1947-01","1947","01","-4.6","","-19.1","","-11.9","","3.9","S","-32.2","","47.5","","50.8","","98.3","","","M",,"",,""
"1947-02","1947","02","-6.3","","-19.8","","-13.1","","1.7","","-30.6","S","0.0","","55.9","","55.9","","","M",,"",,""
"1947-03","1947","03","1.4","","-9.6","","-4.1","","6.1","","-18.9","","37.6","","101.6","","139.2","","","M",,"",,""
"1947-04","1947","04","7.3","","-3.9","","1.7","","15.6","","-16.7","","79.5","","28.7","","108.2","","","M",,"",,""
"1947-05","1947","05","15.4","","3.8","","9.6","","23.3","","-4.4","S","142.5","","0.0","T","142.5","","","M",,"",,""
"1947-06","1947","06","21.4","","11.3","","16.4","","31.1","","3.3","","72.9","","0.0","","72.9","","","M",,"",,""
"1947-07","1947","07","25.2","","17.1","","21.2","","30.0","","11.7","","67.6","","0.0","","67.6","","","M",,"",,""
"1947-08","1947","08","27.6","","16.3","","22.0","","34.4","S","7.8","","33.3","","0.0","","33.3","","","M",,"",,""
